test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6445963978767395,0.7913367748260498,0.7521573305130005
C2,C3,0.7531799077987671,0.7725307941436768,0.7430152893066406
C3,C4,0.7264399528503418,0.7665386199951172,0.7727397680282593
C4,C5,0.7491481304168701,0.7297891974449158,0.7684634923934937
C5,C1,0.7683031558990479,0.7748702764511108,0.6470099687576294
MEAN,,0.7283335089683532,0.7670131325721741,0.7366771697998047
STD,,0.0491519430068404,0.0227467875764392,0.0515531167155395
POOLED,,0.738375879755267,0.766381174452003,0.7494795701325501
