test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6490020155906677,0.8066419959068298,0.7343038320541382
C2,C3,0.7254541516304016,0.7729011178016663,0.7368001341819763
C3,C4,0.7222678661346436,0.7651277184486389,0.7699522972106934
C4,C5,0.7328001260757446,0.7008212804794312,0.7303034067153931
C5,C1,0.8037315011024475,0.7872248888015747,0.6464229226112366
MEAN,,0.726651132106781,0.7665434002876281,0.7235565185546875
STD,,0.0548389106609411,0.0399920088796665,0.0459308678952851
POOLED,,0.7411051600207265,0.7632391305498905,0.7349263159056529
