test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6616041660308838,0.8387101888656616,0.7794796228408813
C2,C3,0.774882435798645,0.8088228106498718,0.78522789478302
C3,C4,0.7711008787155151,0.8260927200317383,0.8121665716171265
C4,C5,0.7883492112159729,0.7859748601913452,0.7904505133628845
C5,C1,0.7846371531486511,0.8471381664276123,0.6749642491340637
MEAN,,0.7561147689819336,0.8213477492332458,0.7684577703475952
STD,,0.05329551701962,0.0244807579673057,0.0537073013393532
POOLED,,0.7671103304326413,0.8215289808690814,0.777759584754325
