test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6367745399475098,0.7865004539489746,0.7333004474639893
C2,C3,0.7205011248588562,0.7660515904426575,0.7271241545677185
C3,C4,0.738285481929779,0.7575007081031799,0.7596472501754761
C4,C5,0.7575262784957886,0.7188572883605957,0.7299838662147522
C5,C1,0.7492676973342896,0.7609955072402954,0.616920530796051
MEAN,,0.7204710245132446,0.7579811096191407,0.7133952498435974
STD,,0.0487975346226932,0.0245890037935248,0.0554673346672239
POOLED,,0.7292076744168735,0.7588123791577139,0.7243835790929308
