test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6482275724411011,0.802313506603241,0.7633439302444458
C2,C3,0.737351655960083,0.7756710052490234,0.7549765110015869
C3,C4,0.7717260122299194,0.8008390665054321,0.8126243352890015
C4,C5,0.786238431930542,0.7742716073989868,0.797199010848999
C5,C1,0.8048357367515564,0.8318353891372681,0.6856128573417664
MEAN,,0.7496758818626403,0.7969861149787902,0.76275132894516
STD,,0.0618653455834397,0.0236007468300508,0.0492064587274478
POOLED,,0.7606033240545912,0.7962047249108734,0.7738244026658837
