test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6550030708312988,0.8293652534484863,0.7547397613525391
C2,C3,0.7640160322189331,0.795154333114624,0.7814227342605591
C3,C4,0.7316173315048218,0.7849891185760498,0.7762787342071533
C4,C5,0.7766115665435791,0.7595728039741516,0.7871776819229126
C5,C1,0.7996979355812073,0.8106818199157715,0.6582129597663879
MEAN,,0.745389187335968,0.7959526658058167,0.7515663743019104
STD,,0.056192861022269,0.0263518502367958,0.0536078319449651
POOLED,,0.7582421659493886,0.7965829892557242,0.760652031681979
