test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.5568562746047974,0.7336816191673279,0.6930031776428223
C2,C3,0.6778702139854431,0.7513890862464905,0.637836217880249
C3,C4,0.5675905346870422,0.7168930768966675,0.723986804485321
C4,C5,0.7180494666099548,0.7117863893508911,0.6623407602310181
C5,C1,0.6497205495834351,0.7482039332389832,0.5718379616737366
MEAN,,0.6340174078941345,0.732390820980072,0.6578009843826294
STD,,0.0699953822183671,0.0178702087064102,0.0579409180383164
POOLED,,0.6391771513239816,0.7318968317496658,0.6693205821371772
