test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6426162123680115,0.8472537994384766,0.770587682723999
C2,C3,0.7351752519607544,0.7829751372337341,0.7462743520736694
C3,C4,0.7302629947662354,0.8008947968482971,0.768821120262146
C4,C5,0.7757912278175354,0.791065514087677,0.777953028678894
C5,C1,0.7747197151184082,0.770645022392273,0.6327236294746399
MEAN,,0.731713080406189,0.7985668540000915,0.7392719626426697
STD,,0.0541867026652653,0.0293889366367858,0.0607281497095054
POOLED,,0.7448811289593126,0.7989979569860065,0.7526401042376741
