test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6617412567138672,0.825743556022644,0.7700048089027405
C2,C3,0.7751212120056152,0.7852569818496704,0.7808886766433716
C3,C4,0.7257129549980164,0.7834333777427673,0.7632570266723633
C4,C5,0.7717257738113403,0.7466903924942017,0.774129331111908
C5,C1,0.7669014930725098,0.7621533870697021,0.6301547884941101
MEAN,,0.7402405381202698,0.7806555390357971,0.7436869263648986
STD,,0.0481974476732923,0.0298235634466524,0.0637884713866741
POOLED,,0.7525972516858023,0.7801769842532883,0.7548736682618191
