test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.678931713104248,0.82692551612854,0.7524665594100952
C2,C3,0.7714300155639648,0.8052676916122437,0.7741024494171143
C3,C4,0.7701146602630615,0.7876901030540466,0.7924126386642456
C4,C5,0.767707884311676,0.7599889039993286,0.782158613204956
C5,C1,0.7971939444541931,0.7950152158737183,0.6704728603363037
MEAN,,0.7570756435394287,0.7949774861335754,0.754322624206543
STD,,0.0452908943092398,0.0245146548252183,0.0491201609522302
POOLED,,0.7647403877733342,0.7960212942175153,0.7651926685731653
