test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.4769189953804016,0.7053605914115906,0.5799391269683838
C2,C3,0.5967618227005005,0.6448323726654053,0.5766650438308716
C3,C4,0.5635402202606201,0.6458048820495605,0.6227816939353943
C4,C5,0.6404826045036316,0.6636437773704529,0.6166948676109314
C5,C1,0.6364456415176392,0.7076914310455322,0.4966835081577301
MEAN,,0.5828298568725586,0.6734666109085083,0.5785528481006622
STD,,0.0670481021487228,0.0311052375319965,0.0502968161341892
POOLED,,0.5936483435840275,0.6763554478361058,0.5903310782811301
