test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6074646711349487,0.7376230955123901,0.7092055678367615
C2,C3,0.721373438835144,0.7593344449996948,0.7308154106140137
C3,C4,0.735245943069458,0.7533360123634338,0.7487869262695312
C4,C5,0.7377874851226807,0.7185242772102356,0.7669046521186829
C5,C1,0.7577435970306396,0.7584817409515381,0.6361100077629089
MEAN,,0.7119230270385742,0.7454599142074585,0.7183645129203796
STD,,0.0598191266230525,0.0174000557924797,0.0507109038928013
POOLED,,0.7216991711973181,0.7454041181747696,0.7259073700624422
