test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6337233781814575,0.8575434684753418,0.739271342754364
C2,C3,0.7518763542175293,0.8167502880096436,0.7257150411605835
C3,C4,0.6891927719116211,0.7991324663162231,0.7761448621749878
C4,C5,0.7689194679260254,0.7724323868751526,0.7813647985458374
C5,C1,0.7645525932312012,0.7910500764846802,0.6221411824226379
MEAN,,0.7216529130935669,0.8073817372322083,0.7289274454116821
STD,,0.0586797026884647,0.0322498051497045,0.0642257389330584
POOLED,,0.734029605441806,0.8083722001711487,0.7396842311102167
