test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.648485004901886,0.8207603693008423,0.7539824843406677
C2,C3,0.7605915665626526,0.7705320119857788,0.7616680860519409
C3,C4,0.7640317678451538,0.782455563545227,0.7881426811218262
C4,C5,0.8130316734313965,0.7919442653656006,0.7970367074012756
C5,C1,0.8091799020767212,0.8326840400695801,0.6799690127372742
MEAN,,0.759063982963562,0.7996752500534058,0.7561597943305969
STD,,0.0664808990433254,0.026171437316089,0.0461896747822754
POOLED,,0.7645711759815598,0.7979325956360325,0.7679116880394482
