test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6491632461547852,0.8030418753623962,0.7303403615951538
C2,C3,0.7286149859428406,0.7647476196289062,0.7494839429855347
C3,C4,0.7264623045921326,0.7692903876304626,0.7601490020751953
C4,C5,0.7655773162841797,0.7519793510437012,0.7746822237968445
C5,C1,0.776576817035675,0.7835336923599243,0.6484743356704712
MEAN,,0.7292789340019226,0.7745185852050781,0.7326259732246398
STD,,0.0499538786363497,0.0195299330078424,0.0497422320501624
POOLED,,0.742620524561905,0.7746160395155578,0.7444385308379194
