test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6575914836080735,0.9110975260003924,0.7306114284285852
C2,C3,0.72717887668587,0.9130599867248916,0.7526687102002586
C3,C4,0.7555593492134131,0.8933391323454308,0.765828574887191
C4,C5,0.7640474622631167,0.8874314779921274,0.7767555940635161
C5,C1,0.7796466274469585,0.896536024417677,0.6447592166543737
MEAN,,0.7368047598434864,0.9002928294961038,0.7341247048467849
STD,,0.0482097651825448,0.0112652521190581,0.0528321441372496
POOLED,,0.7475372542728627,0.8999962050471262,0.7466155931381572
