test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6625363826751709,0.8253004550933838,0.7567828893661499
C2,C3,0.76517653465271,0.8077374696731567,0.7562952041625977
C3,C4,0.7683152556419373,0.7958664894104004,0.7903071641921997
C4,C5,0.7733252644538879,0.7658757567405701,0.7485514879226685
C5,C1,0.7748486995697021,0.7818400263786316,0.6476194858551025
MEAN,,0.7488404273986816,0.7953240394592285,0.7399112462997437
STD,,0.0484005757659427,0.022923748383134,0.0540491854159447
POOLED,,0.7589818943257965,0.7950723028687862,0.747909174066991
