test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6462282538414001,0.8172073364257812,0.7448272705078125
C2,C3,0.7462655901908875,0.8068773746490479,0.7362560033798218
C3,C4,0.7377059459686279,0.7868555188179016,0.7805180549621582
C4,C5,0.7752349376678467,0.7930682897567749,0.771767795085907
C5,C1,0.7896776795387268,0.7802259922027588,0.6477558612823486
MEAN,,0.7390224814414978,0.7968469023704529,0.7362249970436097
STD,,0.0559961062175761,0.0150459127542501,0.0527398177967597
POOLED,,0.7516729709967102,0.7964861526864419,0.7459019788905125
