test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6727077960968018,0.8341752886772156,0.7529160976409912
C2,C3,0.7449723482131958,0.7924137115478516,0.7610583305358887
C3,C4,0.7597211599349976,0.7756215929985046,0.7673928141593933
C4,C5,0.7778421640396118,0.7396021485328674,0.7736988663673401
C5,C1,0.7923120260238647,0.7811613082885742,0.6468839049339294
MEAN,,0.7495110988616943,0.7845948100090027,0.7403900027275085
STD,,0.0465246212779384,0.03404411193779,0.0528348970259274
POOLED,,0.7605323550288711,0.7843142888073747,0.7529285961156486
