test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6171185970306396,0.7903019189834595,0.7371920347213745
C2,C3,0.7273052930831909,0.7916094064712524,0.7001881003379822
C3,C4,0.6725419163703918,0.8024636507034302,0.7871453762054443
C4,C5,0.7813397645950317,0.7608689069747925,0.7656007409095764
C5,C1,0.7050325870513916,0.8243135809898376,0.5923616290092468
MEAN,,0.7006676316261291,0.7939114928245544,0.7164975762367248
STD,,0.0612537915602025,0.0229541253031243,0.0766587004707181
POOLED,,0.7068881362673328,0.7922942527172149,0.7345995581724919
