test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6668732166290283,0.8226538896560669,0.7638283967971802
C2,C3,0.7065029144287109,0.7567408680915833,0.7270947098731995
C3,C4,0.7381836175918579,0.7634049654006958,0.7709668874740601
C4,C5,0.7802348136901855,0.7619544267654419,0.7894362211227417
C5,C1,0.798876166343689,0.807767391204834,0.6618466973304749
MEAN,,0.7381341457366943,0.7825043082237244,0.7426345825195313
STD,,0.0537138635930289,0.0304181262677625,0.0505234120947946
POOLED,,0.74743438655168,0.7813299387887436,0.7551352196035488
