test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6454274654388428,0.8015110492706299,0.7287133932113647
C2,C3,0.7140359878540039,0.7704346776008606,0.7342702746391296
C3,C4,0.7441642880439758,0.7676904797554016,0.7539495229721069
C4,C5,0.7507859468460083,0.7325100302696228,0.7527765035629272
C5,C1,0.7603908777236938,0.781725287437439,0.629988431930542
MEAN,,0.722960913181305,0.7707743048667908,0.7199396252632141
STD,,0.0466795127989365,0.0251915239230105,0.0514987801218502
POOLED,,0.7338936774775595,0.7707520916036641,0.7316972079626171
