test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6691429018974304,0.8392977714538574,0.7849699258804321
C2,C3,0.7625864744186401,0.7738698124885559,0.7681112289428711
C3,C4,0.7207187414169312,0.7403892278671265,0.7722286581993103
C4,C5,0.7721766233444214,0.7586917877197266,0.769607424736023
C5,C1,0.7818990349769592,0.763958215713501,0.6407276391983032
MEAN,,0.7413047552108765,0.7752413630485535,0.7471289753913879
STD,,0.0465966640484485,0.0378185595732412,0.0598512982392289
POOLED,,0.7536501712624081,0.7732244400255274,0.7582865861495153
