test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6561996340751648,0.820192813873291,0.7727980613708496
C2,C3,0.7546343803405762,0.7840017676353455,0.7586495280265808
C3,C4,0.7755070328712463,0.7785301208496094,0.7906402349472046
C4,C5,0.7615772485733032,0.7529947757720947,0.7814782857894897
C5,C1,0.7861588597297668,0.7799606919288635,0.6504755616188049
MEAN,,0.7468154311180115,0.7831360340118408,0.7508083343505859
STD,,0.0521089802273401,0.0240507126198157,0.0573125726240347
POOLED,,0.7584786491030894,0.7837382395492368,0.7609606967664675
