test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6274082064628601,0.8414428234100342,0.7544937133789062
C2,C3,0.7567437887191772,0.8035850524902344,0.7497707605361938
C3,C4,0.6919018030166626,0.7946712970733643,0.7886834144592285
C4,C5,0.7837767601013184,0.8235111832618713,0.7683713436126709
C5,C1,0.7790108919143677,0.798149824142456,0.6208775043487549
MEAN,,0.7277682900428772,0.8122720360755921,0.7364393472671509
STD,,0.0670091108659435,0.019760692234252,0.0663462907808793
POOLED,,0.7401550781952239,0.8118089855429177,0.7471090181507015
