test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6581310629844666,0.8363032341003418,0.7820441722869873
C2,C3,0.7669094204902649,0.8091801404953003,0.7646192908287048
C3,C4,0.7648963928222656,0.8120574951171875,0.781853437423706
C4,C5,0.7466371059417725,0.7554366588592529,0.7806277275085449
C5,C1,0.7848296761512756,0.8096563816070557,0.662138044834137
MEAN,,0.744280731678009,0.8045267820358276,0.7542565345764161
STD,,0.0500214900201674,0.0296827444634374,0.0520153451937575
POOLED,,0.7553999141587658,0.8075490753139071,0.767065516032659
