test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6572326421737671,0.8332993984222412,0.77203369140625
C2,C3,0.7609270215034485,0.7791409492492676,0.7467286586761475
C3,C4,0.7214429378509521,0.7664240002632141,0.7607307434082031
C4,C5,0.7854747176170349,0.7630614638328552,0.7708272933959961
C5,C1,0.8134997487068176,0.8311360478401184,0.6778233051300049
MEAN,,0.747715413570404,0.7946123719215393,0.7456287384033203
STD,,0.0608384444156152,0.0348571152691382,0.039239794462898
POOLED,,0.7627584958750445,0.7933087124084987,0.763479110807836
