test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6507681012153625,0.8052976727485657,0.7542117834091187
C2,C3,0.7640103101730347,0.7840068936347961,0.7707538604736328
C3,C4,0.7618669271469116,0.7838277816772461,0.8024097681045532
C4,C5,0.7975480556488037,0.800147294998169,0.8039026856422424
C5,C1,0.778656542301178,0.779137372970581,0.6559486389160156
MEAN,,0.7505699872970581,0.7904834032058716,0.7574453473091125
STD,,0.0575857470918502,0.0114872566667752,0.0605583142418265
POOLED,,0.7579907144120953,0.7919293306234411,0.7710155850154908
