test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6693236231803894,0.8281141519546509,0.7837533950805664
C2,C3,0.749052882194519,0.7657186388969421,0.7691044807434082
C3,C4,0.7386882901191711,0.7789251804351807,0.7722299098968506
C4,C5,0.7732313275337219,0.7469807863235474,0.7788357734680176
C5,C1,0.8025529384613037,0.8018916249275208,0.6621649265289307
MEAN,,0.746569812297821,0.7843260765075684,0.7532176971435547
STD,,0.0496996090800547,0.0316070449203967,0.05121810189423
POOLED,,0.7575974238943836,0.7831176053583845,0.764712229707576
