test_id,val_id,test_macro_f1,train_macro_f1,val_macro_f1
C1,C2,0.6586865782737732,0.8226168751716614,0.7605134844779968
C2,C3,0.7621879577636719,0.7825697064399719,0.7715431451797485
C3,C4,0.7193341255187988,0.7814483046531677,0.7746999263763428
C4,C5,0.7917780876159668,0.7764286994934082,0.7874197363853455
C5,C1,0.8051595687866211,0.8065259456634521,0.671883225440979
MEAN,,0.7474292635917663,0.7939179062843322,0.7532119035720826
STD,,0.0595441566500607,0.019828883168906,0.0464639977266631
POOLED,,0.7629232435301893,0.7928310502615702,0.7658861849273588
